txn_date,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death
2020-01-16,นราธิวาส,0,0,0,0,0,0
2020-01-16,น่าน,0,0,0,0,0,0
2020-01-16,บึงกาฬ,0,0,0,0,0,0
2020-01-16,บุรีรัมย์,0,0,0,0,0,0
2020-01-16,ปทุมธานี,0,0,0,0,0,0
2020-01-16,ประจวบคีรีขันธ์,0,0,0,0,0,0
2020-01-16,ปราจีนบุรี,0,0,0,0,0,0
2020-01-16,ปัตตานี,0,0,0,0,0,0
2020-01-16,พระนครศรีอยุธยา,0,0,0,0,0,0
2020-01-16,พะเยา,0,0,0,0,0,0
2020-01-16,พังงา,0,0,0,0,0,0
2020-01-16,พัทลุง,0,0,0,0,0,0
2020-01-16,พิจิตร,0,0,0,0,0,0
2020-01-16,พิษณุโลก,0,0,0,0,0,0
2020-01-16,ภูเก็ต,0,0,0,0,0,0
2020-01-16,มหาสารคาม,0,0,0,0,0,0
2020-01-16,มุกดาหาร,0,0,0,0,0,0
2020-01-16,ยะลา,0,0,0,0,0,0
2020-01-16,ยโสธร,0,0,0,0,0,0
2020-01-16,ระนอง,0,0,0,0,0,0
2020-01-16,ระยอง,0,0,0,0,0,0
2020-01-16,ราชบุรี,0,0,0,0,0,0
2020-01-16,ร้อยเอ็ด,0,0,0,0,0,0
2020-01-16,ลพบุรี,0,0,0,0,0,0
2020-01-16,ลำปาง,0,0,0,0,0,0
2020-01-16,ลำพูน,0,0,0,0,0,0
2020-01-16,ศรีสะเกษ,0,0,0,0,0,0
2020-01-16,สกลนคร,0,0,0,0,0,0
2020-01-16,สงขลา,0,0,0,0,0,0
2020-01-16,สตูล,0,0,0,0,0,0
2020-01-16,สมุทรปราการ,0,0,0,0,0,0
2020-01-16,สมุทรสงคราม,0,0,0,0,0,0
2020-01-16,สมุทรสาคร,0,0,0,0,0,0
2020-01-16,สระบุรี,0,0,0,0,0,0
2020-01-16,สระแก้ว,0,0,0,0,0,0
2020-01-16,สิงห์บุรี,0,0,0,0,0,0
2020-01-16,สุพรรณบุรี,0,0,0,0,0,0
2020-01-16,สุราษฎร์ธานี,0,0,0,0,0,0
2020-01-16,สุรินทร์,0,0,0,0,0,0
2020-01-16,สุโขทัย,0,0,0,0,0,0
2020-01-16,หนองคาย,0,0,0,0,0,0
2020-01-16,หนองบัวลำภู,0,0,0,0,0,0
2020-01-16,อำนาจเจริญ,0,0,0,0,0,0
2020-01-16,อุดรธานี,0,0,0,0,0,0
2020-01-16,อุตรดิตถ์,0,0,0,0,0,0
2020-01-16,อุทัยธานี,0,0,0,0,0,0
2020-01-16,อุบลราชธานี,0,0,0,0,0,0
2020-01-16,อ่างทอง,0,0,0,0,0,0
2020-01-16,เชียงราย,0,0,0,0,0,0
2020-01-16,เชียงใหม่,0,0,0,0,0,0
2020-01-16,เพชรบุรี,0,0,0,0,0,0
2020-01-16,เพชรบูรณ์,0,0,0,0,0,0
2020-01-16,เลย,0,0,0,0,0,0
2020-01-16,แพร่,0,0,0,0,0,0
2020-01-16,แม่ฮ่องสอน,0,0,0,0,0,0
2020-01-16,ไม่ระบุ,0,0,0,0,0,0
2020-01-17,กระบี่,0,0,0,0,0,0
2020-01-17,กรุงเทพมหานคร,1,2,0,0,0,0
2020-01-17,กาญจนบุรี,0,0,0,0,0,0
2020-01-17,กาฬสินธุ์,0,0,0,0,0,0
2020-01-17,กำแพงเพชร,0,0,0,0,0,0
2020-01-17,ขอนแก่น,0,0,0,0,0,0
2020-01-17,จันทบุรี,0,0,0,0,0,0
2020-01-17,ฉะเชิงเทรา,0,0,0,0,0,0
2020-01-17,ชลบุรี,0,0,0,0,0,0
2020-01-17,ชัยนาท,0,0,0,0,0,0
2020-01-17,ชัยภูมิ,0,0,0,0,0,0
2020-01-17,ชุมพร,0,0,0,0,0,0
2020-01-17,ตรัง,0,0,0,0,0,0
2020-01-17,ตราด,0,0,0,0,0,0
2020-01-17,ตาก,0,0,0,0,0,0
2020-01-17,นครนายก,0,0,0,0,0,0
2020-01-17,นครปฐม,0,0,0,0,0,0
2020-01-17,นครพนม,0,0,0,0,0,0
