txn_date,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,new_recovered,total_recovered,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,total_tests,new_tests,reproduction_rate
2/12/2020,0,33,0,12,0,0,0,0,,,,,,0,,,,2727,116,
2/13/2020,0,33,0,12,0,0,0,0,,,,,,0,,,,2796,69,
2/14/2020,0,33,0,12,0,0,0,0,,,,,,0,,,,2849,53,
2/15/2020,1,34,1,13,0,0,0,0,,,,,,0,,,,2930,81,
2/16/2020,0,34,0,13,0,0,0,0,,,,,,0,,,,2963,33,
2/17/2020,1,35,1,14,0,0,0,0,,,,,,0,,,,3088,125,
2/18/2020,0,35,0,14,0,0,0,0,,,,,,0,,,,3212,124,
2/19/2020,0,35,0,14,0,0,0,0,,,,,,0,,,,3400,188,
2/20/2020,0,35,0,14,0,0,0,0,,,,,,0,,,,3593,193,
2/21/2020,0,35,0,14,0,0,0,0,,,,,,0,,,,3783,190,
2/22/2020,0,35,0,14,0,0,0,0,,,,,,0,,,,3963,180,
2/23/2020,0,35,0,14,0,0,0,0,,,,,,0,,,,4218,255,
2/24/2020,0,35,0,14,0,0,0,0,,,,,,0,,,,4569,351,
2/25/2020,2,37,2,16,0,0,0,0,,,,,,0,,,,5058,489,
2/26/2020,3,40,2,18,0,0,0,0,,,,,,0,,,,5779,721,
2/27/2020,0,40,0,18,0,0,0,0,,,,,,0,,,,7183,1404,
2/28/2020,1,41,0,18,0,0,0,0,,,,,,0,,,,8357,1174,
2/29/2020,1,42,1,19,0,0,0,0,,,,,,0,2473.6,2.93,0.11,9088,731,
3/1/2020,0,42,0,19,1,1,0,0,,,,,,0,,,,9709,621,
3/2/2020,1,43,1,20,0,1,0,0,,,,,,0,,,,10460,751,
3/3/2020,0,43,0,20,0,1,0,0,,,,,,0,,,,11176,716,
3/4/2020,0,43,0,20,0,1,0,0,,,,,,0,,,,11808,632,
3/5/2020,4,47,0,20,0,1,0,0,,,,,,0,,,,12479,671,
